compound_name,smiles,formal_charge,n_unpaired_electrons
cid-58887927,CC(C)C[C@H]1C(=O)N(CC2CCCO2)C[C@H]2N1C(=O)CN(C)N2C(=O)NCc1ccccc1,0,0
cid-16640939,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1,0,0
cid-43098951,CC(C)(C)CC(=O)Nc1c(Cl)cc(S(=O)(=O)Cl)cc1Cl,0,0
cid-55374422,O=C(/C=C/c1ccsc1)Nc1ccc(Cl)c([N+](=O)[O-])c1,0,0
cid-8503161,COc1cc(CC(=O)N(C)CC(=O)Nc2ccc(F)cc2)cc(OC)c1OC,0,0
cid-145332272,O=C(Cc1ccccc1F)N1C2CCC1CNC2,0,0
cid-118104613,c1ccc(-c2cc(-n3c4ncccc4c4c5ccccc5oc43)cc(-c3ccccn3)n2)nc1,0,0
cid-5187,O=C(Nc1nc2ccccc2[nH]1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4nc5ccccc5[nH]4)c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)c1,0,0
cid-53791376,CCCCCCCCCCCCCCCCC=C[N+](C)(C)[O-],0,0
cid-112820314,O=C(Cn1c(=O)[nH]c2ccccc2c1=O)N1CCN(c2ncnc3sccc23)CC1,0,0
cid-114754658,Cc1ccccc1C(=O)c1cc(C)c2ccccc2n1,0,0
cid-108426263,COC(=O)C(C)(NCCCN=[N+]=[N-])c1nccnc1C,0,0
cid-80641387,CN(Cc1csc(C#CCO)c1)C(=O)c1sccc1Cl,0,0
cid-9461394,COc1ccc(CCN(C)[C@@H](C)C(=O)Nc2ccc(C)c(F)c2)cc1OC,0,0
cid-136673009,O=C(O)c1ccc2[nH]c(-c3ccc(Oc4ccc(-c5nc6cc(C(=O)O)ccc6[nH]5)cc4)cc3)nc2c1,0,0
cid-82901055,CN(C)S(=O)(=O)c1ccc(N)c(Sc2ccncc2)c1,0,0
cid-93291521,Cc1ccc([C@H]2c3cc(O[C@H](C)C(=O)NCC(C)C)ccc3CCN2C(=O)C2CC2)cc1,0,0
cid-42427606,CCC(=O)Nc1ccc(NC(=O)[C@H](C)Oc2ccccc2C)cc1,0,0
cid-17012575,Cc1c(C(=O)NCC2(N3CCN(C)CC3)CCCCC2)oc2ccc(Br)cc12,0,0
cid-20896686,CCc1ccccc1NC(=O)C1=Cc2cc(OC)ccc2OC=C1,0,0
cid-101425092,COc1cc(C=CC(=[OH+])OC[C@H]2O[C@@H](Oc3cc4c(O[C@@H]5O[C@H](COC(=O)CC(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)cc(=O)cc-4oc3-c3ccc(O)cc3)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)ccc1O,1,0
cid-122527898,CC1(C)c2ccccc2-c2cc3c4cc5c6ccccc6c6ccccc6c5cc4n(-c4cccnc4)c3cc21,0,0
cid-92880067,O=C(N[C@@H](c1ccccc1)c1nnc(-c2ccccc2)o1)c1ccccc1F,0,0
cid-106161802,COCC(CCO)Nc1ccc([N+](=O)[O-])cc1C(=O)O,0,0
cid-61383950,CCCS(=O)(=O)N(C)Cc1nc2ccccc2s1,0,0
cid-89784979,O=c1[nH]c(=O)n(Cc2ccccc2O)c2c1C1(CCNCC1)OC2,0,0
cid-24065208,C=CCN(C)C(=O)[C@H]1[C@@H]2OC3(CC2Br)C(C(=O)N(CC=C)c2c(C)cccc2C)N([C@@H](CC)CO)C(=O)[C@H]13,0,0
cid-153745242,CS(=O)C(Cn1cncn1)c1ccc(Cl)cc1,0,0
cid-43349677,Nc1cccc(Br)c1CN1CCSCC1,0,0
cid-167304578,CCc1cnccc1CNC(=O)c1cccc(NCc2nnc(-c3ccncn3)n2CCNCCCN2CCN(C)CC2)c1,0,0
cid-145328460,C=[P@@]1(N[C@H](C(=O)OCCc2ccccc2)C(C)C)OCC(C)(C)[C@H](C(=O)NCCC(=O)OC(C)(C)C)O1,0,0
cid-107633564,Cc1c(Br)cccc1Nc1ccc(N)cc1Br,0,0
cid-56363193,COc1ccc(-c2nn(CN3CCC(C(=O)NC(C)C(C)C)CC3)c(=S)o2)cc1,0,0
cid-73259220,CC1NNC2C(=O)N(CCc3c[nH]c4ccccc34)C(c3ccccc3Cl)C12,0,0
cid-169998382,CCc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCCCN5C6CC[C@@H]5CC(OC)C6)nc4c3F)c12,0,0
cid-82130994,Cc1cccc(Nc2nc(C)c(CCN)s2)c1,0,0
cid-59954432,CC[C@@H]1CC[C@@H](C(C)C)C1,0,0
cid-123904960,CC1CCC(C(=O)Cn2ncnn2)CCCC2C1CCC1CC(O)(C(F)F)CCC12,0,0
cid-110094779,CC(=O)NCc1ccc(C2CCCN2C(=O)Cc2ccccc2F)nc1,0,0
cid-69942286,CC(=O)C(C(=O)[C@H]1CCCN1)N1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c2ccccc2)c2ccccc21,0,0
cid-139819641,COc1cc(O)c2c(C(C)NC(=O)C(F)(F)F)c[nH]c2c1,0,0
cid-145803217,CC(COc1ccccc1CCc1ccccc1)OC(=O)C(CC(=O)O)N1CCC(C(N)=O)CC1,0,0
cid-19893602,CCCCCCCCC1(N(C(N)=O)C2(C(CNC(=O)C3OC(C)(C)OCC3(C)C)C(=O)[O-])CCCCC2)CCCCC1,-1,0
cid-142479784,C[C@H](O)c1nccn1Cc1cc(C#Cc2ccc(O)cc2)on1,0,0
cid-23954079,C=CCN(C(=O)[C@H]1[C@H]2C(=O)N([C@H](C)CO)C(C(=O)N(CC=C)C(C)(C)C)C23CC(C)[C@]1(C)O3)c1ccccc1,0,0
cid-68377589,CC(C)CNc1cc(-c2nc(C(=O)Nc3cn(CC(C)C)nc3C(N)=O)co2)ccn1,0,0
cid-144680979,CCCCCCSNC(=O)c1ccc(CSCc2ccc(-c3ccc(OC)cc3)cc2)cc1,0,0
cid-25107129,COc1ccc(C(=O)O)cc1NCC=C(C)C,0,0
cid-15619955,CC(=O)Oc1c(C)ncc(CO)c1C,0,0
cid-170722046,Cc1ccc2[nH]c3c(=O)n(CCC(=O)N4CCN(c5cccc(N)c5)CC4)cnc3c2c1,0,0
cid-45785146,CC1(C)CC(=O)C2=C(C1)c1ccc3ccccc3c1NC2c1cccc([N+](=O)[O-])c1,0,0
cid-169332447,Cc1ccc(C(=O)NCC(C)C)cc1-c1ccc(C=O)o1,0,0
cid-80705678,CC1(C)CCC(Nn2cccc2)C1,0,0
cid-56870871,NC(=O)N1CCCC1C(=O)NCc1ccc2[nH]c3c(c2c1)CCCCCC3,0,0
cid-96374521,O=C([C@H]1[C@@H]2C=C[C@@]3(CN(c4ccc(F)cc4)C(=O)[C@H]13)O2)N1CCCn2cncc2C1,0,0
cid-863870,Cc1cc2ncn(CC(=O)Nc3ccccc3C)c2cc1C,0,0
cid-122516413,COc1ccc(C2=C(c3cccc(F)c3)C(=O)NC2=O)cc1F,0,0
cid-79824830,CC(C)CC1(Cc2nccs2)CCCN1,0,0
